"Standard
Class ID"	"Standard
Instance ID"	"Standard
Member ID"	Parameter ID	Instance	"Class
Name"	Base or Module #	"Parameter Name
Member Name"	Description	"Selectable Range or
Enumerations via Comms ( )"	Default from Factory	Data Type	"Read
Write
EEPROM
User Set Save"	Relative Address	Absolute Address	Offset to next inst.	"Modbus
Registers
Range"	Max Instance														
1	2	9	1009	2	DEV	1	Diagnostic - Slot 1 Card Model Number (Digit 3 for Modbus protocol)	Monitor the model number of the card.	"A to Z, 0 to 9 (Unicode character)"	no default	Short String	R	140	" 400,141 "	120	0 to 838	7														
1	2	9	1009	2	DEV	1	Diagnostic - Slot 1 Card Model Number (Digit 4 for Modbus protocol)	Monitor the model number of the card.	"A to Z, 0 to 9 (Unicode character)"	no default	Short String	R	142	" 400,143 "	120	0 to 838	7														
1	2	9	1009	2	DEV	1	Diagnostic - Slot 1 Card Model Number (Digit 5 for Modbus protocol)	Monitor the model number of the card.	"A to Z, 0 to 9 (Unicode character)"	no default	Short String	R	144	" 400,145 "	120	0 to 838	7														
1	2	9	1009	2	DEV	1	Diagnostic - Slot 1 Card Model Number (Digit 6 for Modbus protocol)	Monitor the model number of the card.	"A to Z, 0 to 9 (Unicode character)"	no default	Short String	R	146	" 400,147 "	120	0 to 838	7														
1	2	9	1009	2	DEV	1	Diagnostic - Slot 1 Card Model Number (Digit 7 for Modbus protocol)	Monitor the model number of the card.	"A to Z, 0 to 9 (Unicode character)"	no default	Short String	R	148	" 400,149 "	120	0 to 838	7														
1	2	9	1009	2	DEV	1	Diagnostic - Slot 1 Card Model Number (Digit 8 for Modbus protocol)	Monitor the model number of the card.	"A to Z, 0 to 9 (Unicode character)"	no default	Short String	R	150	" 400,151 "	120	0 to 838	7														
1	2	9	1009	2	DEV	1	Diagnostic - Slot 1 Card Model Number (Digit 9 for Modbus protocol)	Monitor the model number of the card.	"A to Z, 0 to 9 (Unicode character)"	no default	Short String	R	152	" 400,153 "	120	0 to 838	7														
1	2	9	1009	2	DEV	1	Diagnostic - Slot 1 Card Model Number (Digit 10 for Modbus protocol)	Monitor the model number of the card.	"A to Z, 0 to 9 (Unicode character)"	no default	Short String	R	154	" 400,155 "	120	0 to 838	7														
1	2	9	1009	2	DEV	1	Diagnostic - Slot 1 Card Model Number (Digit 11 for Modbus protocol)	Monitor the model number of the card.	"A to Z, 0 to 9 (Unicode character)"	no default	Short String	R	156	" 400,157 "	120	0 to 838	7														
1	2	9	1009	2	DEV	1	Diagnostic - Slot 1 Card Model Number (Digit 12 for Modbus protocol)	Monitor the model number of the card.	"A to Z, 0 to 9 (Unicode character)"	no default	Short String	R	158	" 400,159 "	120	0 to 838	7														
